Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,processed_timestamp
14,4.3,3.0,1.1,0.1,Iris-setosa,2026-04-27 15:14:15.825641
13,4.8,3.0,1.4,0.1,Iris-setosa,2026-04-27 15:14:15.825641
10,4.9,3.1,1.5,0.1,Iris-setosa,2026-04-27 15:14:15.825641
33,5.2,4.1,1.5,0.1,Iris-setosa,2026-04-27 15:14:15.825641
35,4.9,3.1,1.5,0.1,Iris-setosa,2026-04-27 15:14:15.825641
38,4.9,3.1,1.5,0.1,Iris-setosa,2026-04-27 15:14:15.825641
23,4.6,3.6,1.0,0.2,Iris-setosa,2026-04-27 15:14:15.825641
15,5.8,4.0,1.2,0.2,Iris-setosa,2026-04-27 15:14:15.825641
36,5.0,3.2,1.2,0.2,Iris-setosa,2026-04-27 15:14:15.825641
3,4.7,3.2,1.3,0.2,Iris-setosa,2026-04-27 15:14:15.825641
37,5.5,3.5,1.3,0.2,Iris-setosa,2026-04-27 15:14:15.825641
39,4.4,3.0,1.3,0.2,Iris-setosa,2026-04-27 15:14:15.825641
43,4.4,3.2,1.3,0.2,Iris-setosa,2026-04-27 15:14:15.825641
1,5.1,3.5,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
2,4.9,3.0,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
5,5.0,3.6,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
9,4.4,2.9,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
29,5.2,3.4,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
34,5.5,4.2,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
48,4.6,3.2,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
50,5.0,3.3,1.4,0.2,Iris-setosa,2026-04-27 15:14:15.825641
4,4.6,3.1,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
8,5.0,3.4,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
11,5.4,3.7,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
28,5.2,3.5,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
40,5.1,3.4,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
49,5.3,3.7,1.5,0.2,Iris-setosa,2026-04-27 15:14:15.825641
12,4.8,3.4,1.6,0.2,Iris-setosa,2026-04-27 15:14:15.825641
26,5.0,3.0,1.6,0.2,Iris-setosa,2026-04-27 15:14:15.825641
30,4.7,3.2,1.6,0.2,Iris-setosa,2026-04-27 15:14:15.825641
31,4.8,3.1,1.6,0.2,Iris-setosa,2026-04-27 15:14:15.825641
47,5.1,3.8,1.6,0.2,Iris-setosa,2026-04-27 15:14:15.825641
21,5.4,3.4,1.7,0.2,Iris-setosa,2026-04-27 15:14:15.825641
25,4.8,3.4,1.9,0.2,Iris-setosa,2026-04-27 15:14:15.825641
41,5.0,3.5,1.3,0.3,Iris-setosa,2026-04-27 15:14:15.825641
42,4.5,2.3,1.3,0.3,Iris-setosa,2026-04-27 15:14:15.825641
7,4.6,3.4,1.4,0.3,Iris-setosa,2026-04-27 15:14:15.825641
18,5.1,3.5,1.4,0.3,Iris-setosa,2026-04-27 15:14:15.825641
46,4.8,3.0,1.4,0.3,Iris-setosa,2026-04-27 15:14:15.825641
20,5.1,3.8,1.5,0.3,Iris-setosa,2026-04-27 15:14:15.825641
19,5.7,3.8,1.7,0.3,Iris-setosa,2026-04-27 15:14:15.825641
17,5.4,3.9,1.3,0.4,Iris-setosa,2026-04-27 15:14:15.825641
16,5.7,4.4,1.5,0.4,Iris-setosa,2026-04-27 15:14:15.825641
22,5.1,3.7,1.5,0.4,Iris-setosa,2026-04-27 15:14:15.825641
32,5.4,3.4,1.5,0.4,Iris-setosa,2026-04-27 15:14:15.825641
27,5.0,3.4,1.6,0.4,Iris-setosa,2026-04-27 15:14:15.825641
6,5.4,3.9,1.7,0.4,Iris-setosa,2026-04-27 15:14:15.825641
45,5.1,3.8,1.9,0.4,Iris-setosa,2026-04-27 15:14:15.825641
24,5.1,3.3,1.7,0.5,Iris-setosa,2026-04-27 15:14:15.825641
44,5.0,3.5,1.6,0.6,Iris-setosa,2026-04-27 15:14:15.825641
58,4.9,2.4,3.3,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
94,5.0,2.3,3.3,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
61,5.0,2.0,3.5,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
80,5.7,2.6,3.5,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
82,5.5,2.4,3.7,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
63,6.0,2.2,4.0,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
68,5.8,2.7,4.1,1.0,Iris-versicolor,2026-04-27 15:14:15.825641
99,5.1,2.5,3.0,1.1,Iris-versicolor,2026-04-27 15:14:15.825641
81,5.5,2.4,3.8,1.1,Iris-versicolor,2026-04-27 15:14:15.825641
70,5.6,2.5,3.9,1.1,Iris-versicolor,2026-04-27 15:14:15.825641
83,5.8,2.7,3.9,1.2,Iris-versicolor,2026-04-27 15:14:15.825641
93,5.8,2.6,4.0,1.2,Iris-versicolor,2026-04-27 15:14:15.825641
96,5.7,3.0,4.2,1.2,Iris-versicolor,2026-04-27 15:14:15.825641
91,5.5,2.6,4.4,1.2,Iris-versicolor,2026-04-27 15:14:15.825641
74,6.1,2.8,4.7,1.2,Iris-versicolor,2026-04-27 15:14:15.825641
65,5.6,2.9,3.6,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
54,5.5,2.3,4.0,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
72,6.1,2.8,4.0,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
90,5.5,2.5,4.0,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
89,5.6,3.0,4.1,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
100,5.7,2.8,4.1,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
95,5.6,2.7,4.2,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
97,5.7,2.9,4.2,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
75,6.4,2.9,4.3,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
98,6.2,2.9,4.3,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
88,6.3,2.3,4.4,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
56,5.7,2.8,4.5,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
59,6.6,2.9,4.6,1.3,Iris-versicolor,2026-04-27 15:14:15.825641
60,5.2,2.7,3.9,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
66,6.7,3.1,4.4,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
76,6.6,3.0,4.4,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
92,6.1,3.0,4.6,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
51,7.0,3.2,4.7,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
64,6.1,2.9,4.7,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
77,6.8,2.8,4.8,1.4,Iris-versicolor,2026-04-27 15:14:15.825641
135,6.1,2.6,5.6,1.4,Iris-virginica,2026-04-27 15:14:15.825641
62,5.9,3.0,4.2,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
52,6.4,3.2,4.5,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
67,5.6,3.0,4.5,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
69,6.2,2.2,4.5,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
79,6.0,2.9,4.5,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
85,5.4,3.0,4.5,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
55,6.5,2.8,4.6,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
87,6.7,3.1,4.7,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
53,6.9,3.1,4.9,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
73,6.3,2.5,4.9,1.5,Iris-versicolor,2026-04-27 15:14:15.825641
120,6.0,2.2,5.0,1.5,Iris-virginica,2026-04-27 15:14:15.825641
134,6.3,2.8,5.1,1.5,Iris-virginica,2026-04-27 15:14:15.825641
86,6.0,3.4,4.5,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
57,6.3,3.3,4.7,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
84,6.0,2.7,5.1,1.6,Iris-versicolor,2026-04-27 15:14:15.825641
130,7.2,3.0,5.8,1.6,Iris-virginica,2026-04-27 15:14:15.825641
107,4.9,2.5,4.5,1.7,Iris-virginica,2026-04-27 15:14:15.825641
78,6.7,3.0,5.0,1.7,Iris-versicolor,2026-04-27 15:14:15.825641
71,5.9,3.2,4.8,1.8,Iris-versicolor,2026-04-27 15:14:15.825641
127,6.2,2.8,4.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
139,6.0,3.0,4.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
124,6.3,2.7,4.9,1.8,Iris-virginica,2026-04-27 15:14:15.825641
128,6.1,3.0,4.9,1.8,Iris-virginica,2026-04-27 15:14:15.825641
150,5.9,3.0,5.1,1.8,Iris-virginica,2026-04-27 15:14:15.825641
117,6.5,3.0,5.5,1.8,Iris-virginica,2026-04-27 15:14:15.825641
138,6.4,3.1,5.5,1.8,Iris-virginica,2026-04-27 15:14:15.825641
104,6.3,2.9,5.6,1.8,Iris-virginica,2026-04-27 15:14:15.825641
109,6.7,2.5,5.8,1.8,Iris-virginica,2026-04-27 15:14:15.825641
126,7.2,3.2,6.0,1.8,Iris-virginica,2026-04-27 15:14:15.825641
108,7.3,2.9,6.3,1.8,Iris-virginica,2026-04-27 15:14:15.825641
147,6.3,2.5,5.0,1.9,Iris-virginica,2026-04-27 15:14:15.825641
102,5.8,2.7,5.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
143,5.8,2.7,5.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
112,6.4,2.7,5.3,1.9,Iris-virginica,2026-04-27 15:14:15.825641
131,7.4,2.8,6.1,1.9,Iris-virginica,2026-04-27 15:14:15.825641
122,5.6,2.8,4.9,2.0,Iris-virginica,2026-04-27 15:14:15.825641
114,5.7,2.5,5.0,2.0,Iris-virginica,2026-04-27 15:14:15.825641
111,6.5,3.2,5.1,2.0,Iris-virginica,2026-04-27 15:14:15.825641
148,6.5,3.0,5.2,2.0,Iris-virginica,2026-04-27 15:14:15.825641
132,7.9,3.8,6.4,2.0,Iris-virginica,2026-04-27 15:14:15.825641
123,7.7,2.8,6.7,2.0,Iris-virginica,2026-04-27 15:14:15.825641
140,6.9,3.1,5.4,2.1,Iris-virginica,2026-04-27 15:14:15.825641
113,6.8,3.0,5.5,2.1,Iris-virginica,2026-04-27 15:14:15.825641
129,6.4,2.8,5.6,2.1,Iris-virginica,2026-04-27 15:14:15.825641
125,6.7,3.3,5.7,2.1,Iris-virginica,2026-04-27 15:14:15.825641
103,7.1,3.0,5.9,2.1,Iris-virginica,2026-04-27 15:14:15.825641
106,7.6,3.0,6.6,2.1,Iris-virginica,2026-04-27 15:14:15.825641
133,6.4,2.8,5.6,2.2,Iris-virginica,2026-04-27 15:14:15.825641
105,6.5,3.0,5.8,2.2,Iris-virginica,2026-04-27 15:14:15.825641
118,7.7,3.8,6.7,2.2,Iris-virginica,2026-04-27 15:14:15.825641
142,6.9,3.1,5.1,2.3,Iris-virginica,2026-04-27 15:14:15.825641
146,6.7,3.0,5.2,2.3,Iris-virginica,2026-04-27 15:14:15.825641
116,6.4,3.2,5.3,2.3,Iris-virginica,2026-04-27 15:14:15.825641
149,6.2,3.4,5.4,2.3,Iris-virginica,2026-04-27 15:14:15.825641
121,6.9,3.2,5.7,2.3,Iris-virginica,2026-04-27 15:14:15.825641
144,6.8,3.2,5.9,2.3,Iris-virginica,2026-04-27 15:14:15.825641
136,7.7,3.0,6.1,2.3,Iris-virginica,2026-04-27 15:14:15.825641
119,7.7,2.6,6.9,2.3,Iris-virginica,2026-04-27 15:14:15.825641
115,5.8,2.8,5.1,2.4,Iris-virginica,2026-04-27 15:14:15.825641
137,6.3,3.4,5.6,2.4,Iris-virginica,2026-04-27 15:14:15.825641
141,6.7,3.1,5.6,2.4,Iris-virginica,2026-04-27 15:14:15.825641
145,6.7,3.3,5.7,2.5,Iris-virginica,2026-04-27 15:14:15.825641
101,6.3,3.3,6.0,2.5,Iris-virginica,2026-04-27 15:14:15.825641
110,7.2,3.6,6.1,2.5,Iris-virginica,2026-04-27 15:14:15.825641
